shelter_id,name,mandal,district,facility_type,capacity,longitude,latitude,utm_easting,utm_northing,capacity_provenance,source_entity,retrieval_date
Andhra-CycloneShelters.86,Kothapatnam,Kota,Tirupati,DEDICATED_MPCS,1000,80.11756667,14.11338053,404748.90377029125,1560444.5568846802,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
Andhra-CycloneShelters.177,Chalivendra ST Colony,Muthukur,S.P.S.Nellore,DEDICATED_MPCS,1000,80.09696316,14.27324223,402593.1087152182,1578135.1466009328,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
Andhra-CycloneShelters.181,Utukuru,Vidvaluru,S.P.S.Nellore,DEDICATED_MPCS,1000,80.14152696,14.57394074,407524.49117060035,1611377.1569731156,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
Andhra-CycloneShelters.103,Pedapalem of Ponnapudi,Vidvaluru,S.P.S.Nellore,DEDICATED_MPCS,1000,80.13888056,14.69663054,407290.93794783344,1624949.186782199,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
Andhra-CycloneShelters.119,Chakicherla,Ulavapadu,S.P.S.Nellore,DEDICATED_MPCS,1000,80.03663889,15.12009999,396485.276622782,1671836.666894987,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
Andhra-CycloneShelters.120,Alagayyapalem of Karedu,Ulavapadu,S.P.S.Nellore,DEDICATED_MPCS,1000,80.05477778,15.14869721,398448.1117428369,1674991.5889182126,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
Andhra-CycloneShelters.122,Kothapallipalem  of Karedu,Ulavapadu,S.P.S.Nellore,DEDICATED_MPCS,1000,80.06274722,15.17401943,399316.3765998549,1677789.027977443,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
Andhra-CycloneShelters.166,Balakotaiah sangam,Ulavapadu,S.P.S.Nellore,DEDICATED_MPCS,1000,80.0300994,15.1595533,395801.8367859206,1676204.068187278,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
Andhra-CycloneShelters.117,Pakala Main,S. Konda,Prakasam,DEDICATED_MPCS,1000,80.07320833,15.27422777,400487.32754408877,1688869.2071740997,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
Andhra-CycloneShelters.165,Chellammagaripattapupalem,S. Konda,Prakasam,DEDICATED_MPCS,1000,80.08162652,15.26835359,401388.54019898444,1688215.57399809,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
Andhra-CycloneShelters.110,K.Pallipalem,Kothapatnam,Prakasam,DEDICATED_MPCS,1000,80.17532778,15.44285832,411524.0417771333,1707478.6025915297,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
Andhra-CycloneShelters.112,Padarthy,Kothapatnam,Prakasam,DEDICATED_MPCS,1000,80.18211944,15.46915832,412263.80436459184,1710385.0917088045,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
Andhra-CycloneShelters.113,Rangaiah Palem,Kothapatnam,Prakasam,DEDICATED_MPCS,1000,80.16977778,15.45123888,410932.14552676294,1708407.9406595263,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
Andhra-CycloneShelters.63,Suryalanka,Bapatla,Bapatla,DEDICATED_MPCS,1000,80.50843889,15.840925,447365.14199590456,1751401.1494777803,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
Andhra-CycloneShelters.154,Chinapuluguvaripalem,Karlapalem,Bapatla,DEDICATED_MPCS,1000,80.60980338,15.89927561,458231.1239072653,1757832.8207724777,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
Andhra-CycloneShelters.72,Pedapatnam,Machilipatnam,Krishna,DEDICATED_MPCS,1000,81.27113611,16.30218333,528965.3690001025,1802380.9213868494,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
Andhra-CycloneShelters.217,Urlagondtippa,Kruthivennu,Krishna,DEDICATED_MPCS,1000,81.41017503,16.34946412,543808.4981786669,1807635.9223402045,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
Andhra-CycloneShelters.29,Pallipalem,Sakinetipally,Kona Seema,DEDICATED_MPCS,1000,81.72741944,16.32782778,577701.3523010449,1805337.0852262096,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
Andhra-CycloneShelters.131,Sardupallipalem of Vemulaveedhi,Narasapur,West Godavari,DEDICATED_MPCS,1000,81.67760556,16.35059722,572371.7438807087,1807837.5998708778,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
Andhra-CycloneShelters.132,Chinmyavani Lanka,Narasapur,West Godavari,DEDICATED_MPCS,1000,81.68705278,16.34496667,573382.8984693013,1807218.104587078,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
Andhra-CycloneShelters.134,Veemuladeevi,Narasapur,West Godavari,DEDICATED_MPCS,1000,81.69730278,16.33956389,574479.7751982633,1806624.14484556,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
Andhra-CycloneShelters.188,Kapulakodapa,Narasapur,West Godavari,DEDICATED_MPCS,1000,81.69123175,16.3527843,573826.3281802456,1808084.4398267597,OFFICIAL_DESIGN_STANDARD,APSAC / APSDMA / NCRMP Phase-I,2026-09-24T13:35:55.443072+00:00
