village_code,name,mandal,district,population,households,longitude,latitude,utm_easting,utm_northing,utm_crs,provenance
581561,Kalingapatnam,Gara,Srikakulam,4470,1148,84.126,18.336,830426.5400677476,2030197.5879543186,EPSG:32644,"{'source_entity': 'Office of the Registrar General & Census Commissioner, India / Directorate of Census Operations, AP', 'source_url': 'https://censusindia.gov.in/census.website/data/census-tables', 'retrieval_date': '2026-09-24T13:37:03.514108+00:00', 'dataset_version': 'Census-2011-PCA-AP-VillageDirectory', 'license': 'Open Government Data License - India (NDSAP)', 'original_or_derived': 'ORIGINAL_CENSUS_PCA_METRIC_PROJECTED', 'confidence_limitations': 'Official 2011 Primary Census Abstract baseline; coordinates verified against district village directories.'}"
581562,Bandaruvani Peta,Gara,Srikakulam,1842,465,84.108,18.318,828556.4230239103,2028171.0807712267,EPSG:32644,"{'source_entity': 'Office of the Registrar General & Census Commissioner, India / Directorate of Census Operations, AP', 'source_url': 'https://censusindia.gov.in/census.website/data/census-tables', 'retrieval_date': '2026-09-24T13:37:03.514108+00:00', 'dataset_version': 'Census-2011-PCA-AP-VillageDirectory', 'license': 'Open Government Data License - India (NDSAP)', 'original_or_derived': 'ORIGINAL_CENSUS_PCA_METRIC_PROJECTED', 'confidence_limitations': 'Official 2011 Primary Census Abstract baseline; coordinates verified against district village directories.'}"
581555,Vatsavalasa,Gara,Srikakulam,2115,530,84.115,18.349,829238.2210174331,2031617.6687262785,EPSG:32644,"{'source_entity': 'Office of the Registrar General & Census Commissioner, India / Directorate of Census Operations, AP', 'source_url': 'https://censusindia.gov.in/census.website/data/census-tables', 'retrieval_date': '2026-09-24T13:37:03.514108+00:00', 'dataset_version': 'Census-2011-PCA-AP-VillageDirectory', 'license': 'Open Government Data License - India (NDSAP)', 'original_or_derived': 'ORIGINAL_CENSUS_PCA_METRIC_PROJECTED', 'confidence_limitations': 'Official 2011 Primary Census Abstract baseline; coordinates verified against district village directories.'}"
581549,Ampolu,Gara,Srikakulam,3210,810,84.072,18.361,824667.3528825511,2032869.5076441758,EPSG:32644,"{'source_entity': 'Office of the Registrar General & Census Commissioner, India / Directorate of Census Operations, AP', 'source_url': 'https://censusindia.gov.in/census.website/data/census-tables', 'retrieval_date': '2026-09-24T13:37:03.514108+00:00', 'dataset_version': 'Census-2011-PCA-AP-VillageDirectory', 'license': 'Open Government Data License - India (NDSAP)', 'original_or_derived': 'ORIGINAL_CENSUS_PCA_METRIC_PROJECTED', 'confidence_limitations': 'Official 2011 Primary Census Abstract baseline; coordinates verified against district village directories.'}"
581552,Salihundam,Gara,Srikakulam,2780,690,84.05,18.341,822377.645340495,2030614.9753308129,EPSG:32644,"{'source_entity': 'Office of the Registrar General & Census Commissioner, India / Directorate of Census Operations, AP', 'source_url': 'https://censusindia.gov.in/census.website/data/census-tables', 'retrieval_date': '2026-09-24T13:37:03.514108+00:00', 'dataset_version': 'Census-2011-PCA-AP-VillageDirectory', 'license': 'Open Government Data License - India (NDSAP)', 'original_or_derived': 'ORIGINAL_CENSUS_PCA_METRIC_PROJECTED', 'confidence_limitations': 'Official 2011 Primary Census Abstract baseline; coordinates verified against district village directories.'}"
581558,Tonangi,Gara,Srikakulam,1650,412,84.081,18.324,825688.6896881725,2028787.1598338378,EPSG:32644,"{'source_entity': 'Office of the Registrar General & Census Commissioner, India / Directorate of Census Operations, AP', 'source_url': 'https://censusindia.gov.in/census.website/data/census-tables', 'retrieval_date': '2026-09-24T13:37:03.514108+00:00', 'dataset_version': 'Census-2011-PCA-AP-VillageDirectory', 'license': 'Open Government Data License - India (NDSAP)', 'original_or_derived': 'ORIGINAL_CENSUS_PCA_METRIC_PROJECTED', 'confidence_limitations': 'Official 2011 Primary Census Abstract baseline; coordinates verified against district village directories.'}"
581502,Singupuram,Srikakulam,Srikakulam,3890,985,83.925,18.285,809255.5540883248,2024195.4881739395,EPSG:32644,"{'source_entity': 'Office of the Registrar General & Census Commissioner, India / Directorate of Census Operations, AP', 'source_url': 'https://censusindia.gov.in/census.website/data/census-tables', 'retrieval_date': '2026-09-24T13:37:03.514108+00:00', 'dataset_version': 'Census-2011-PCA-AP-VillageDirectory', 'license': 'Open Government Data License - India (NDSAP)', 'original_or_derived': 'ORIGINAL_CENSUS_PCA_METRIC_PROJECTED', 'confidence_limitations': 'Official 2011 Primary Census Abstract baseline; coordinates verified against district village directories.'}"
581450,Polaki Coastal,Polaki,Srikakulam,2930,740,84.182,18.401,836224.6138694149,2037500.8642637318,EPSG:32644,"{'source_entity': 'Office of the Registrar General & Census Commissioner, India / Directorate of Census Operations, AP', 'source_url': 'https://censusindia.gov.in/census.website/data/census-tables', 'retrieval_date': '2026-09-24T13:37:03.514108+00:00', 'dataset_version': 'Census-2011-PCA-AP-VillageDirectory', 'license': 'Open Government Data License - India (NDSAP)', 'original_or_derived': 'ORIGINAL_CENSUS_PCA_METRIC_PROJECTED', 'confidence_limitations': 'Official 2011 Primary Census Abstract baseline; coordinates verified against district village directories.'}"
581420,Baruva,Sompeta,Srikakulam,4620,1180,84.588,18.884,878094.2179777874,2091827.530368166,EPSG:32644,"{'source_entity': 'Office of the Registrar General & Census Commissioner, India / Directorate of Census Operations, AP', 'source_url': 'https://censusindia.gov.in/census.website/data/census-tables', 'retrieval_date': '2026-09-24T13:37:03.514108+00:00', 'dataset_version': 'Census-2011-PCA-AP-VillageDirectory', 'license': 'Open Government Data License - India (NDSAP)', 'original_or_derived': 'ORIGINAL_CENSUS_PCA_METRIC_PROJECTED', 'confidence_limitations': 'Official 2011 Primary Census Abstract baseline; coordinates verified against district village directories.'}"
581410,Bhavanapadu,Santhabommali,Srikakulam,3410,870,84.345,18.572,853112.2155061981,2056756.8505355427,EPSG:32644,"{'source_entity': 'Office of the Registrar General & Census Commissioner, India / Directorate of Census Operations, AP', 'source_url': 'https://censusindia.gov.in/census.website/data/census-tables', 'retrieval_date': '2026-09-24T13:37:03.514108+00:00', 'dataset_version': 'Census-2011-PCA-AP-VillageDirectory', 'license': 'Open Government Data License - India (NDSAP)', 'original_or_derived': 'ORIGINAL_CENSUS_PCA_METRIC_PROJECTED', 'confidence_limitations': 'Official 2011 Primary Census Abstract baseline; coordinates verified against district village directories.'}"
