instance_size,num_variables,seed,solver,objective_value,optimality_gap,raw_feasibility_rate,repaired_feasible,runtime_sec,circuit_depth,two_qubit_gates,evaluations_count
4x3,12,11,Exact_MILP,6053.88,0.0,1.0,True,0.03121,0.0,0.0,1
4x3,12,11,Random_Sampler,6123.87,69.99,0.004,True,0.06454,0.0,0.0,1000
4x3,12,11,Simulated_Annealing,6054.17,0.29,0.0,True,0.00606,0.0,0.0,684
4x3,12,11,QAOA_p1,6142.27,88.39,0.0088,True,0.768,19.0,0.0,20
4x3,12,23,Exact_MILP,6053.88,0.0,1.0,True,0.03502,0.0,0.0,1
4x3,12,23,Random_Sampler,6053.88,0.0,0.005,True,0.0795,0.0,0.0,1000
4x3,12,23,Simulated_Annealing,6054.17,0.29,0.0,True,0.00571,0.0,0.0,684
4x3,12,23,QAOA_p1,6123.87,69.99,0.0059,True,0.7108,19.0,0.0,18
4x3,12,37,Exact_MILP,6053.88,0.0,1.0,True,0.033,0.0,0.0,1
4x3,12,37,Random_Sampler,6072.28,18.4,0.002,True,0.06637,0.0,0.0,1000
4x3,12,37,Simulated_Annealing,6054.17,0.29,0.0,True,0.00569,0.0,0.0,684
4x3,12,37,QAOA_p1,6053.88,0.0,0.0107,True,0.6929,19.0,0.0,20
4x3,12,42,Exact_MILP,6053.88,0.0,1.0,True,0.03485,0.0,0.0,1
4x3,12,42,Random_Sampler,6053.88,0.0,0.003,True,0.07424,0.0,0.0,1000
4x3,12,42,Simulated_Annealing,6054.17,0.29,0.0,True,0.00648,0.0,0.0,684
4x3,12,42,QAOA_p1,6080.3,26.42,0.0029,True,0.754,19.0,0.0,19
4x3,12,59,Exact_MILP,6053.88,0.0,1.0,True,0.02823,0.0,0.0,1
4x3,12,59,Random_Sampler,6123.87,69.99,0.002,True,0.06301,0.0,0.0,1000
4x3,12,59,Simulated_Annealing,6054.17,0.29,0.0,True,0.00568,0.0,0.0,684
4x3,12,59,QAOA_p1,6072.28,18.4,0.0127,True,0.7724,19.0,0.0,20
4x3,12,71,Exact_MILP,6053.88,0.0,1.0,True,0.02866,0.0,0.0,1
4x3,12,71,Random_Sampler,6054.17,0.29,0.002,True,0.06967,0.0,0.0,1000
4x3,12,71,Simulated_Annealing,6054.17,0.29,0.0,True,0.00568,0.0,0.0,684
4x3,12,71,QAOA_p1,6123.87,69.99,0.001,True,0.8564,19.0,0.0,20
4x3,12,83,Exact_MILP,6053.88,0.0,1.0,True,0.02854,0.0,0.0,1
4x3,12,83,Random_Sampler,6054.17,0.29,0.001,True,0.06715,0.0,0.0,1000
4x3,12,83,Simulated_Annealing,6054.17,0.29,0.0,True,0.00566,0.0,0.0,684
4x3,12,83,QAOA_p1,6123.87,69.99,0.0,True,0.6729,19.0,0.0,20
4x3,12,97,Exact_MILP,6053.88,0.0,1.0,True,0.03592,0.0,0.0,1
4x3,12,97,Random_Sampler,6054.17,0.29,0.0,True,0.08076,0.0,0.0,1000
4x3,12,97,Simulated_Annealing,6054.17,0.29,0.0,True,0.00603,0.0,0.0,684
4x3,12,97,QAOA_p1,6054.17,0.29,0.0,True,0.6977,19.0,0.0,20
4x3,12,109,Exact_MILP,6053.88,0.0,1.0,True,0.03514,0.0,0.0,1
4x3,12,109,Random_Sampler,6172.6,118.72,0.002,True,0.07372,0.0,0.0,1000
4x3,12,109,Simulated_Annealing,6054.17,0.29,0.0,True,0.00635,0.0,0.0,684
4x3,12,109,QAOA_p1,6150.72,96.84,0.002,True,0.663,19.0,0.0,20
4x3,12,127,Exact_MILP,6053.88,0.0,1.0,True,0.03524,0.0,0.0,1
4x3,12,127,Random_Sampler,6053.88,0.0,0.006,True,0.07634,0.0,0.0,1000
4x3,12,127,Simulated_Annealing,6054.17,0.29,0.0,True,0.00602,0.0,0.0,684
4x3,12,127,QAOA_p1,6123.87,69.99,0.0059,True,0.7263,19.0,0.0,19
5x3,15,11,Exact_MILP,7640.5,0.0,1.0,True,0.04094,0.0,0.0,1
5x3,15,11,Random_Sampler,7640.5,0.0,0.0,True,0.08323,0.0,0.0,1000
5x3,15,11,Simulated_Annealing,7640.79,0.29,0.0,True,0.00588,0.0,0.0,684
5x3,15,11,QAOA_p1,7641.01,0.51,0.001,True,0.9691,23.0,0.0,20
5x3,15,23,Exact_MILP,7640.5,0.0,1.0,True,0.03455,0.0,0.0,1
5x3,15,23,Random_Sampler,7760.08,119.58,0.0,True,0.08973,0.0,0.0,1000
5x3,15,23,Simulated_Annealing,7640.79,0.29,0.0,True,0.00624,0.0,0.0,684
5x3,15,23,QAOA_p1,7679.51,39.01,0.002,True,0.9645,23.0,0.0,20
5x3,15,37,Exact_MILP,7640.5,0.0,1.0,True,0.03415,0.0,0.0,1
5x3,15,37,Random_Sampler,7640.79,0.29,0.0,True,0.08309,0.0,0.0,1000
5x3,15,37,Simulated_Annealing,7640.79,0.29,0.0,True,0.00699,0.0,0.0,684
5x3,15,37,QAOA_p1,7640.5,0.0,0.0,True,1.0299,23.0,0.0,19
5x3,15,42,Exact_MILP,7640.5,0.0,1.0,True,0.03612,0.0,0.0,1
5x3,15,42,Random_Sampler,7640.5,0.0,0.0,True,0.07999,0.0,0.0,1000
5x3,15,42,Simulated_Annealing,7640.79,0.29,0.0,True,0.00629,0.0,0.0,684
