Instance_Size,Variables,Solver,Mean_Objective,Std_Objective,Best_Objective,Mean_Optimality_Gap,Mean_Feasibility_Rate,Mean_Runtime_Sec,Circuit_Depth,Two_Qubit_Gates
4x3,12,Exact_MILP,6053.88,0.0,6053.88,0.0,100.0,0.0326,0.0,0.0
4x3,12,Random_Sampler,6081.68,42.82,6053.88,27.8,0.3,0.0715,0.0,0.0
4x3,12,Simulated_Annealing,6054.17,0.0,6054.17,0.29,0.0,0.0059,0.0,0.0
4x3,12,QAOA_p1,6104.91,36.18,6053.88,51.03,0.5,0.7314,19.0,0.0
5x3,15,Exact_MILP,7640.5,0.0,7640.5,0.0,100.0,0.0359,0.0,0.0
5x3,15,Random_Sampler,7658.0,39.55,7640.5,17.5,0.0,0.0865,0.0,0.0
5x3,15,Simulated_Annealing,7640.79,0.0,7640.79,0.29,0.0,0.0062,0.0,0.0
5x3,15,QAOA_p1,7658.42,17.0,7640.5,17.92,0.2,0.9749,23.0,0.0
6x3,18,Exact_MILP,9362.38,0.0,9362.38,0.0,100.0,0.0348,0.0,0.0
6x3,18,Random_Sampler,9439.46,64.96,9362.67,77.08,0.0,0.0983,0.0,0.0
6x3,18,Simulated_Annealing,9362.67,0.0,9362.67,0.29,0.0,0.0061,0.0,0.0
6x3,18,QAOA_p1,9411.95,61.24,9362.67,49.57,0.1,1.3409,27.0,0.0
7x3,21,Exact_MILP,10637.58,0.0,10637.58,0.0,100.0,0.0315,0.0,0.0
7x3,21,Random_Sampler,10737.43,88.85,10637.58,99.85,0.0,0.115,0.0,0.0
7x3,21,Simulated_Annealing,10638.14,0.0,10638.14,0.56,0.0,0.0067,0.0,0.0
7x3,21,QAOA_p1,10751.63,61.67,10638.14,114.05,0.0,3.8138,31.0,0.0
8x3,24,Exact_MILP,12261.88,0.0,12261.88,0.0,100.0,0.0369,0.0,0.0
8x3,24,Random_Sampler,12370.88,106.7,12261.88,109.0,0.0,0.1265,0.0,0.0
8x3,24,Simulated_Annealing,12262.44,0.0,12262.44,0.56,0.0,0.0063,0.0,0.0
8x3,24,QAOA_p1,12306.14,53.31,12262.44,44.26,0.0,24.5398,35.0,0.0
10x5,50,Exact_MILP,15117.12,0.0,15117.12,0.0,100.0,0.0918,,
10x5,50,Random_Sampler,15346.02,53.55,15263.43,228.9,0.0,0.2396,,
10x5,50,Simulated_Annealing,15436.44,0.0,15436.44,319.32,0.0,0.0068,,
20x8,160,Exact_MILP,25411.76,0.0,25411.76,0.0,100.0,24.3053,,
20x8,160,Random_Sampler,25863.56,127.45,25599.36,451.8,0.0,0.7445,,
20x8,160,Simulated_Annealing,25872.12,88.23,25737.41,460.36,0.0,0.0106,,
